Comment,Designator,Footprint,JLCPCB Part #
10uF ,"C1, C3, C4, C6",C0603_1608Metric,C19702
22uF ,C2,C0603_1608Metric,C59461
4.7uF ,C5,C0603_1608Metric,C19666
150pF ,C7,C0603_1608Metric,C1594
GREEN_LED ,D1,LED_0603_1608Metric,C72043
RED_LED ,D2,LED_0603_1608Metric,C2286
USB_C_Receptacle ,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C709357
BATT CONN ,J2,PinHeader_1x02_P1.27mm_Vertical,
Conn_01x02_Female ,J3,PinHeader_1x02_P1.27mm_Vertical,
2.2uH ,L1,L_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C1043
5.1k ,"R1, R2",R0603_1608Metric,C23186
1k ,"R3, R4",R0603_1608Metric,C21190
10k ,"R5, R12",R0603_1608Metric,C25197
6.2k ,R6,R0603_1608Metric,C4260
1M ,R7,R0603_1608Metric,C22935
0R ,R8,R0603_1608Metric,
1.5M ,R9,R0603_1608Metric,C4172
1M ,R10,R0603_1608Metric,C22935
300k ,R11,R0603_1608Metric,C23024
1.5k ,RPROG1,R0603_1608Metric,C22843
1k POT ,RV1,Potentiometer_Bourns_TC33X_Vertical,
AMS1117-1.5 ,U1,SOT-223-3_TabPin2,
TP4056-42-ESOP8 ,U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,C16581
LM393 ,U3,SOIC-8_3.9x4.9mm_P1.27mm,C7955
B5819W SL ,U4,D_SOD-123,C8598
WTM3401 ,U5,SOT-23,C2847494
NCP1529 ,U6,SOT-23-5_HandSoldering,
2N7002_ ,U7,SOT-23,C8545
